,problem_id,problem_code,assistment_id,problem_set_id,problem_set_type,problem_set_name,curriculum,grade_or_subject,unit,link,skill_codes,skill_names,problem_type,problem_body,attempts,correct_count,percent_correct,first_cwa,first_cwa_count,second_cwa,second_cwa_count,third_cwa,third_cwa_count,answer
287221,2046547.0,PRABTJEP,1408001.0,PSABUS4Q,Tutoring Exit Ticket Lessons 6-9,"Eureka G1,M6,TB,L6-9",LDOE Accelerate Resources,Eureka Math,Grade 1,https://app.assistments.org/find/lv/lesson/364491/1445171,1.NBT.B.3,Compare Two 2-Digit Numbers Using Place Value,choose_1,"<p><strong>Write the numbers in the blanks so that the alligator is eating the </strong><strong><em>greater</em></strong><strong> number.&nbsp; Remember to read starting with the number on the left.&nbsp;</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" src=""/images/assistments/493266.jpg"" width=""228"" height=""142"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Fill in blank a.&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-size: 8pt;""><a class=""waffle-rich-text-link"" href=""https://www.engageny.org/"">Modified from EngageNY &copy;GreatMinds</a></span></p>",,,,,,,,,,23
20348,1591036.0,PRABGVJT,1119829.0,PSA82JX,Homework and Practice,Grade 5 Lesson 4.4 Multiply a Decimal by a Whole Number,Textbook Curricula,Pearson (Prentice-Hall),Envision 2.0,https://app.assistments.org/find/lv/lesson/329783/886310,,,numeric,"<p><img class=""Wirisformula"" src=""/pluginwiris_engine/app/showimage?formula=e6a3196a5577483093947ee45a1efe35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;0&laquo;/mn&raquo;&laquo;mo&raquo;.&laquo;/mo&raquo;&laquo;mn&raquo;46&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#215;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;/math&raquo;"" /></p>",,,,,,,,,,1.38
149794,1520430.0,PRABE58V,1068588.0,PSABNZTQ,Practice Problems,Acc6.1 Lesson 7: Practice Area of Triangles (6.G.A.1),Kendall Hunt Illustrative Mathematics,Grade 6 Accelerated,Unit 1- Areas,https://app.assistments.org/find/lv/lesson/356654/1272873,6.G.A.1-2,Find the Area of Parallelograms,open_response,"<p>Draw an identical copy of the triangle such that two copies together for a parallelogram. If you get stuck, consider using tracing paper.</p>
<p><img id=""mce_4"" src=""/images/assistments/163019.jpg"" width=""112"" height=""94"" /></p>
<p>Draw your&nbsp;triangle&nbsp;on paper, take a picture, and upload it using the image upload icon<img src=""/images/assistments/100953.jpg"" alt="""" width=""34"" height=""29"" /></p>
<p>&nbsp;</p>
<p>If you do not have the ability to upload an image of your work type ""Triangle is on paper.""</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 8pt;""><strong>copied for free from openupresources.org</strong></span></p>",4053.0,445.0,11.0,,,,,,,
397695,2012084.0,PRABSYUJ,1391102.0,PSABVMHZ,Student Facing Tasks,"1.3 Lesson 16 Add Three Numbers (1.OA.B.3, 1.OA.C.6, 1.OA.D.7)",Open Up Resources,Grade 1,Unit 3 - Adding and Subtracting Within 20,https://app.assistments.org/find/lv/lesson/366093/1469608,"1.OA.B.3, 1.OA.C.6","Add & Subtract Within 20 Using Multiple Strategies, Apply Properties of Operations to Add & Subtract",open_response,"<p>Write&nbsp;an expression with 3 numbers.</p>
<p>&nbsp;</p>
<p>2 of the numbers should make 10.</p>
<p>&nbsp;</p>",3.0,0.0,0.0,,,,,,,
245732,734360.0,PRAS28P,469879.0,PSAG585,,Chapter 1 - Practice Test,Textbook Curricula,Glencoe McGraw-Hill,Pre-Algebra (2012),https://app.assistments.org/find/lv/lesson/328907/204657,,,old_algebra,<p>What is Luz's age if Malik is 4?</p>,11.0,11.0,100.0,,,,,,,12
306601,938306.0,PRAX3ME,619198.0,PSAM2ZK,,Chapter 3 Test,Textbook Curricula,Big Ideas Learning,Grade 6: Green (2014),https://app.assistments.org/find/lv/lesson/328646/320704,,,old_algebra,<p>Page 146 #6</p>,121.0,109.0,90.1,5/40,6.0,40^5,2.0,9,2.0,40 / 5
255622,1507163.0,PRABETY6,1058739.0,PSABM4ZT,Practice Problems,"Acc7.3 Lesson 10 Different Options for Solving One Equation (7.NS.A, 7.EE.B.4.a)",Kendall Hunt Illustrative Mathematics,Grade 7 Accelerated,Unit 3 - Writing and Solving Equations,https://app.assistments.org/find/lv/lesson/356883/1246154,7.EE.B.4a-1,Solve 2-Step Equations,open_response,<p>What is the same and what is different about their methods?</p>,6830.0,388.0,5.7,,,,,,,
193808,1421259.0,PRABCSM8,997857.0,PSA4MKY,,10-1 Measures of Center,Textbook Curricula,Glencoe McGraw-Hill,Grade 7: Accelerated (2014),https://app.assistments.org/find/lv/lesson/328883/754685,,,choose_1,"<p>Page 438 #13</p>
<p>&nbsp;</p>
<p>Based on the graph, which measure of center best represents the data? Explain.</p>",,,,,,,,,,mode
225287,1410363.0,PRABCGZF,989556.0,PSA37A9,Exit Ticket,"Algebra I, M4, Lesson 8 (F.IF.4, F.IF.7.a)",EngageNY/Eureka Math (© by Great Minds®) *,Algebra I,"Module 4 - Polynomial and Quadratic Expressions, Equations, and Functions",https://app.assistments.org/find/lv/lesson/357756/741922,HSF.IF.B.4,Interpret Key Features of Graphs & Tables Between Two Quantities,fill_in_ignore_case,"<p>Find the interval on which the rate of change is always positive.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Write your answer in the following format:</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">(a,b) or [a,b] with no spaces.</span></p>
<p><span style=""font-weight: 400;"">Use inf to represent &infin;</span></p>
<p><span style=""font-weight: 400;"">Use -inf to represent -&infin;</span></p>",229.0,53.0,23.1,"(4,infinity)",23.0,x>4,18.0,"(4, infinity)",5.0,"(4,inf)"
343067,2046877.0,PRABTJK9,1408174.0,PSABUS42,,Algebra I Released Exam Questions - June 2021,Released State Practice Tests,New York,Algebra I NYSTP,https://app.assistments.org/find/lv/lesson/333975/1445181,HSF.BF.B.3,Identify the Effect of a Graph after Changes to a Function,choose_1,"<p>If the parent function of f(x) is p(x) = x<sup>2</sup>, then the graph of the function f(x) = (x - k)<sup>2</sup>&nbsp;+ 5, where k &gt; 0, would be a shift of</p>",164.0,110.0,67.1,k units to the left and a move of 5 units up,32.0,k units to the left and a move of 5 units down,10.0,k units to the right and a move of 5 units down,6.0,k units to the right and a move of 5 units up
303153,108503.0,PRAB798,57658.0,PSARS22,,Solving word problems using the four operations (3.OA.D.8) - Set C,Problem Solving Sets,Grade 3,Operations and Algebraic Thinking (OA),https://app.assistments.org/find/lv/lesson/329579/432225,4.OA.A.3-1,Solve Multi-Step Word Problems Using All Four Operations,fill_in_1,<p>All the students in Mr. Conner's class are working in groups. There are 6 groups of 4 students and 1 group of 3 students.<br />What is the total number of students in Mr. Conner's class?</p>,327.0,230.0,70.3,24,14.0,23,13.0,14,13.0,27
141735,1590745.0,PRABGVBN,1119607.0,PSA83EW,Guided and Independent Practice,5.6 Use Estimation to Place the First Digit of the Quotient,Textbook Curricula,Pearson (Prentice-Hall),Envision 2.0,https://app.assistments.org/find/lv/lesson/329786/887146,,,choose_1,<p>Page 271 #9</p>,,,,,,,,,,Hundreds
192126,1501377.0,PRABEPM3,1054551.0,PSABM6AK,Practice Problems,"Acc7.8 Lesson 2 Side Lengths and Areas (5.G.B, 8.EE.A.2, 8.F.B, 8.NS.A)",Kendall Hunt Illustrative Mathematics,Grade 7 Accelerated,Unit 8 - Pythagorean Theorem and Irrational Numbers		,https://app.assistments.org/find/lv/lesson/357006/1247387,8.NS.A.2-1,Approximate Square Roots,choose_1,<p>What is the side length of Square C?</p>,4918.0,4390.0,89.3,√11,660.0,4.2,591.0,sqrt(11),303.0, √26
1420,1134060.0,PRA42FB,767034.0,PSASXNB,,"Butterflies, Pinwheels, and Wallpaper Investigation 3 ACE",Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329187/466427,,,open_response,"<p>Page 63 #7c</p>
<p>&nbsp;</p>
<p>What signal transformation is equivalent to the sequence of the two rotations?</p>",24.0,0.0,0.0,,,,,,,
200545,1513257.0,PRABEYPV,1063256.0,PSA67NV,,3.4 Graphing Functions,Textbook Curricula,Holt McDougal Littell,HS: Holt Algebra I (2012),https://app.assistments.org/find/lv/lesson/328917/831624,,,choose_1,"<p>y =&nbsp;<img id=""mce_1"" class=""Wirisformula"" src=""/pluginwiris_engine/app/showimage?formula=2ffa8b9ddfe3361c605d304aa43d596e"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;4&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" />x - 2; (4,-1)</p>",,,,,,,,,,yes
154436,1989591.0,PRABSJRT,1378524.0,PSABS2NS,,5.2 Lesson 11 Sprint - Side B,EngageNY/Eureka Math (© by Great Minds®) *,Grade 5,Fluency Support,https://app.assistments.org/find/lv/lesson/364954/1392845,5.NBT.A.2-1,Explain Patterns in the Number of Zeros when Multiplying by Powers of 10,numeric,"<p>8 x 4 = ___</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-size: 8pt;"">Modified from&nbsp;<a class=""waffle-rich-text-link"" href=""https://www.engageny.org/"">EngageNY</a>&nbsp;&copy;Great Minds<a class=""waffle-rich-text-link"" href=""https://new.assistments.org/curricula/great-minds"">&nbsp;Disclaimer</a></span></p>",287.0,250.0,87.1,24,10.0,16,3.0,40,2.0,32
27650,1594736.0,PRABGYEE,1122576.0,PSA9BNX,,1-4 The Distributive Property,Textbook Curricula,Glencoe McGraw-Hill,HS: Algebra I (2018),https://app.assistments.org/find/lv/lesson/328830/895052,,,algebra,<p>Evaluate.</p>,53.0,49.0,92.5,x+4,2.0,,,,,2x+8
46695,2023068.0,PRABS6CA,1396395.0,PSABT8AR,"Ready, Set, Go","Math III.9 Lesson 12 So, You Say There's a Chance? (HSS-IC.B.6)",Open Up Resources,Math III,Unit 9 - Statistics,https://app.assistments.org/find/lv/lesson/363253/1428060,HSN.CN.B.4,Represent Complex Numbers on the Complex Plane & Explain,open_response,"<p>Graph each complex number on the same complex plane. Let the point be the terminal point of a vector with the initial point being at the origin. Label each vector using vector notation.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/481387.jpg"" alt="""" width=""405"" height=""245"" /></p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/489549.jpg"" alt="""" width=""545"" height=""486"" /></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Draw your graph on paper, take a picture, and upload it using the image upload icon <img src=""/images/assistments/100953.jpg"" alt="""" width=""34"" height=""29"" />.</span></p>
<p><span style=""font-weight: 400;"">If you do not have the ability to upload an image of your work, type ""Graph is on paper.""</span></p>",,,,,,,,,,
12207,1400549.0,PRABB8GG,981373.0,PSA3K3P,,8.4 The Slope of a Line ,Textbook Curricula,Holt McDougal Littell,Pre-Algebra (2012),https://app.assistments.org/find/lv/lesson/328955/724389,,,open_response,<p>Page 423 #14</p>,,,,,,,,,,
315675,1477620.0,PRABD5CS,1037957.0,PSA583F,Practice Problems,"8.2 Lesson 4: Dilations on a Square Grid (8.G.A, 8.G.A.3)",Open Up Resources,Grade 8,"Unit 2 - Dilations, Similarity, and Introducing Slope ",https://app.assistments.org/find/lv/lesson/355676/803184,7.G.B.5-1,Solve Problems Involving Complementary & Supplementary Angles,numeric,"<p>The diagram shows three lines with some marked angle measures.</p>
<p><img src=""/images/assistments/150101.jpg"" alt="""" width=""317"" height=""178"" /></p>
<p>Find the missing angle measures (in degrees) marked with question marks.&nbsp;</p>
<p>a=?</p>
<p>&nbsp;</p>
<p><span style=""font-size: 8pt;""><strong>copied for free from openupresources.org</strong></span></p>
<p>&nbsp;</p>",5581.0,3485.0,62.4,55,735.0,35,522.0,153,249.0,145
201441,1540415.0,PRABFM8H,1082992.0,PSA7599,,"3.1i Homework: Classifying Rational Numbers (Optional) (6.NS.5, 6.NS.6, 6.NS.7, 6.NS.8)",The Utah Middle School Math Project,Grade 6,Chapter 3: Extending the Number Line,https://app.assistments.org/find/lv/lesson/329930/860094,6.NS.C.7b,Interpret & Compare Rational Numbers in Real-World Contexts,open_response,<p>Justify your answer.</p>,,,,,,,,,,
375003,1751219.0,PRABMQXF,1234549.0,PSABC7UE,Practice Problems,Alg2.2 Lesson 4 Combining Polynomials (HSA-APR.A.1),Kendall Hunt Illustrative Mathematics,Algebra 2,Unit 2 - Polynomials and Rational Functions ,https://app.assistments.org/find/lv/lesson/358475/1010542,HSA.SSE.A.1a,Interpret Parts of an Expression,numeric,<p>Leading Coefficient?</p>,2896.0,2412.0,83.3,8,146.0,-8,53.0,-6,39.0,2
196622,1744825.0,PRABMK9Q,1231023.0,PSABC3PD,,Lesson 7-10 Recursive Formulas,Textbook Curricula,Glencoe McGraw-Hill,HS: Algebra I (2018),https://app.assistments.org/find/lv/lesson/331407/1006542,,,numeric,"<p>Page 472 #4</p>
<p>&nbsp;</p>
<p>Complete the equation.</p>
<p>&nbsp;</p>
<p>a<sub>1</sub> = _____</p>",,,,,,,,,,4
130800,1468529.0,PRABDX4D,1032892.0,PSA57YS,,6.3b Spiral Review,The Utah Middle School Math Project,Grade 7,"Chapter 6: Expressions & Equations II–Real-world equations, Inequalities",https://app.assistments.org/find/lv/lesson/329680/802140,7.SP.C.8b-1,Use Tree Diagrams & Lists to Represent Compound Events,open_response,"<p>3. Suppose you were to roll a fair 6-sided number cube once, then flip a coin. List all the possible outcomes.</p>
<p>&nbsp;</p>
<p><span style=""font-size: 8pt;""><strong>The Utah Middle School Math Project</strong></span></p>",,,,,,,,,,
276466,2004883.0,PRABSVG8,1387899.0,PSABS6XY,Student Facing Tasks,"2.1 Lesson 17 Center Day 3 (optional) (2.MD.D.10, 2.NBT.A.2, 2.NBT.B.5)",Kendall Hunt Illustrative Mathematics,Grade 2,"Unit 1 - Adding, Subtracting, and Working with Data",https://app.assistments.org/find/lv/lesson/360500/1396974,2.NBT.B.5,Add & Subtract Within 100 Using Place Value Strategies,numeric,"<p>Find the value of&nbsp;the&nbsp;sum mentally.</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=3202a003941d8bb3ea3ed18cf6c4c96d&amp;cw=57&amp;ch=13&amp;cb=12"" width=""57"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;37&laquo;/mn&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mn&raquo;30&laquo;/mn&raquo;&laquo;/math&raquo;"" /></p>
<p>&nbsp;</p>",2.0,1.0,50.0,,,,,,,67
102521,2011673.0,PRABSYMX,1390897.0,PSABVKQG,Student Facing Tasks,"1.2 Lesson 19 Story Problems and Equations (1.NBT.A.1, 1.OA.A.1, 1.OA.B.4)",Open Up Resources,Grade 1,Unit 2 - Addition and Subtraction Story Problems,https://app.assistments.org/find/lv/lesson/365888/1468817,"1.OA.A.1, 1.OA.D.8","Determine the Unknown Number in Addition or Subtraction Equations, Solve Word Problems Involving Adding/Subtracting Within 20",open_response,"<p>Show your thinking using drawings, numbers, or words.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Submit your&nbsp;work&nbsp;using the tools below.</p>",,,,,,,,,,
471781,1761390.0,PRABMWWY,1240300.0,PSABDAXN,Practice Problems,Alg1.7 Lesson 17 Applying the Quadratic Formula (Part 1) ,Kendall Hunt Illustrative Mathematics,Algebra 1,Unit 7 - Quadratic Equations,https://app.assistments.org/find/lv/lesson/358292/1013525,HSA.REI.B.4b,Solve Quadratic Equations using Various Methods,numeric,"<p>Consider the equation&nbsp;<img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=f40455dd7e24398e5544cce2e1921961&amp;cw=151&amp;ch=17&amp;cb=16"" alt=""undefined"" width=""151"" height=""17"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;4&laquo;/mn&raquo;&laquo;msup&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;4&laquo;/mn&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;15&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;0&laquo;/mn&raquo;&laquo;/math&raquo;"" />.</p>
<p><br />What is the positive value of&nbsp;<img class=""Wirisformula"" style=""max-width: none; vertical-align: -13px;"" src=""/pluginwiris_engine/app/showimage?formula=0806dc63c2cf16787f5d933072edfb96&amp;cw=128&amp;ch=44&amp;cb=31"" width=""128"" height=""44"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mrow&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mi&raquo;b&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#177;&laquo;/mo&raquo;&laquo;msqrt&raquo;&laquo;msup&raquo;&laquo;mi&raquo;b&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;4&laquo;/mn&raquo;&laquo;mi&raquo;a&laquo;/mi&raquo;&laquo;mi&raquo;c&laquo;/mi&raquo;&laquo;/msqrt&raquo;&laquo;/mrow&raquo;&laquo;mrow&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mi&raquo;a&laquo;/mi&raquo;&laquo;/mrow&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" />?</p>",1094.0,718.0,65.6,10,37.0,-1.5,20.0,16,17.0,5/2
207090,620657.0,PRAQAA8,387312.0,PSADX8P,,Chapter 6 Practice Test,Textbook Curricula,Glencoe McGraw-Hill,"HS: Algebra I (2012,2014)",https://app.assistments.org/find/lv/lesson/328838/109504,,,old_algebra,<p>Enter the value of the x-coordinate.</p>,28.0,22.0,78.6,1 1/2,1.0,8,1.0,4,1.0,3
131916,647692.0,PRAQW9X,406492.0,PSAE9KS,,Approximating the probability of a chance event (7.SP.C.6) - Set A,Problem Solving Sets,Grade 7,Statistics and Probability (SP),https://app.assistments.org/find/lv/lesson/329595/148288,7.SP.C.6,Approximate Probability of an Event by Collecting Data,choose_1,"<p>Juliana plans to roll a number cube 300 times for an experiment. Which of the following is the <strong>best</strong> prediction of how many times the number cube will land on an odd number?</p>
<p>&nbsp;</p>",899.0,572.0,63.6,about 100 times but not exactly 100 times,165.0,exactly 100 times,51.0,,,about 150 times but not exactly 150 times
213793,1750390.0,PRABMQMA,1234234.0,PSABC7PY,Cool-Down,7.1 Lesson 7: Scale Drawings (7.G.A.1),Open Up Resources,Grade 7,Unit 1 - Scale Drawings ,https://app.assistments.org/find/lv/lesson/355453/1010404,7.G.A.1,Solve Scale Drawing Problems,numeric,"<p>A scale drawing of a lake has a scale of 1 cm to 80 m. If the actual width of the&nbsp;lake is 1,000 m, what is the width of the&nbsp;lake on the scale drawing?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Do not include units (cm) in your answer.</p>
<p>&nbsp;</p>",12302.0,6528.0,53.1,80000,936.0,"80,000",933.0,125,639.0,12.5
146039,1592656.0,PRABGWU7,1121081.0,PSA89EY,,Chapter 0 Posttest,Textbook Curricula,Glencoe McGraw-Hill,HS: Algebra I (2018),https://app.assistments.org/find/lv/lesson/328831/892914,,,numeric,"<p>Page P38 #63</p>
<p>Do not include units, outcomes.</p>",,,,,,,,,,16
442617,1470981.0,PRABDZN6,1034404.0,PSA58BW,Exit Ticket,1.2 Lesson 25 (1.OA.D.7),EngageNY/Eureka Math (© by Great Minds®) *,Grade 1,Module 2 - Introduction to Place Value Through Addition and Subtraction Within 20,https://app.assistments.org/find/lv/lesson/356425/802485,1.OA.D.7,Apply Knowledge of Equality Involving Addition and Subtraction,open_response,"<p>Write matching expressions to make true number sentences. &nbsp;Use all four of the above expressions that equal 17 to make the number sentences.</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" src=""/images/assistments/146424.jpg"" width=""353"" height=""127"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>",770.0,32.0,4.2,,,,,,,
277405,2008735.0,PRABSXBZ,1389659.0,PSABVQXK,Student Facing Tasks,"2.7 Lesson 9 Add Three-digit Numbers (2.NBT.B.7, 2.NBT.B.9)",Open Up Resources,Grade 2,"Unit 7 - Adding and Subtracting Within 1,000",https://app.assistments.org/find/lv/lesson/366300/1472881,2.NBT.B.7,"Add & Subtract Within 1,000 Using Place Value Strategies",numeric,"<p>Find the value of the expression.</p>
<p>&nbsp;</p>
<p><img class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=b47e41fef23183dcd19f53b8fe3804bb&amp;cw=84&amp;ch=13&amp;cb=12"" width=""84"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;575&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#8201;&laquo;/mo&raquo;&laquo;mn&raquo;166&laquo;/mn&raquo;&laquo;/math&raquo;"" /></p>",5.0,2.0,40.0,789,2.0,736,2.0,932,2.0,741
97537,1995804.0,PRABSQHV,1383114.0,PSABS4K3,Student Facing Tasks,5.7 Lesson 8 Sort Triangles (5.G.B),Kendall Hunt Illustrative Mathematics,Grade 5,Unit 7 - Shapes on the Coordinate Plane,https://app.assistments.org/find/lv/lesson/360865/1394714,5.G.B.4-2,Classify Triangles & Quadrilaterals ,open_response,<p>Some of the triangles with a 90 degree angle...</p>,13.0,0.0,0.0,,,,,,,
92431,1588460.0,PRABGTTN,1118150.0,PSA85PR,Guided and Independent Practice,Grade 5 Lesson 3.1 Multiply Greater Numbers by Power of 10,Textbook Curricula,Pearson (Prentice-Hall),Envision 2.0,https://app.assistments.org/find/lv/lesson/329782/889311,,,open_response,<p>Page 115 #2</p>,,,,,,,,,,
371279,1384724.0,PRABBTGB,968875.0,PSA2Z4A,,5.5 - Dividing Fractions,Textbook Curricula,Holt McDougal Littell,Pre-Algebra (2012),https://app.assistments.org/find/lv/lesson/328958/707110,,,fraction_reduced,<p>Page 252 #34</p>,,,,,,,,,,1 2/3
258286,1788345.0,PRABNHRM,1258393.0,PSABDXXU,,3.5 Graph a Line Using Intercepts Independent Practice (8.EE.8),Textbook Curricula,Glencoe McGraw-Hill,Grade 8: Course 3 (2016),https://app.assistments.org/find/lv/lesson/332096/1032751,,,open_response,"<p>Page&nbsp;213 #5</p>
<p>&nbsp;</p>
<p>Interpret the intercepts</p>",521.0,60.0,11.5,,,,,,,
326533,1631033.0,PRABHS2E,1147190.0,PSABHWRC,Cool Down,6.7 Lesson 18 Using Common Multiples and Common Factors (6.NS.B.4),Kendall Hunt Illustrative Mathematics,Grade 6,Unit 7 - Rational Numbers,https://app.assistments.org/find/lv/lesson/351202/1150753,"6.NS.B.4-3, 6.NS.B.4-4","Find the Greatest Common Factor of Whole Numbers, Find the Least Common Multiple of Whole Numbers",choose_1,"<p>For&nbsp;the&nbsp;problem below, tell whether finding the answer requires finding a greatest common factor or a least common multiple. You do not need solve the problem.</p>
<p>&nbsp;</p>
<p>A florist orders sunflowers every 6 days, starting from the sixth day of the year, and daisies every 4 days, starting from the fourth day of the year. When (or on which day) will she orders both kinds of flowers on the same day?</p>",1542.0,1022.0,66.3,Greatest Common Factor,1038.0,,,,,Least Common Multiple
412133,1985456.0,PRABSF5V,1376015.0,PSABSXY5,Practice Problems (Section A),3.4 Section A Practice Problems: What is Division? ,Kendall Hunt Illustrative Mathematics,Grade 3,Unit 4 - Relating Multiplication to Division,https://app.assistments.org/find/lv/lesson/360287/1390283,"3.OA.A.2, 3.OA.A.3-1","Interpret Whole Number Quotients of Whole Numbers, Solve Word Problems Using Division Within 100",open_response,"<p>Show your thinking using a drawing or a diagram.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Submit your work using the tools below.</p>",43.0,0.0,0.0,,,,,,,
303871,947661.0,PRAYA8Q,626523.0,PSAM89G,,Chapter 4 Review,Textbook Curricula,Big Ideas Learning,Grade 6: Green (2014),https://app.assistments.org/find/lv/lesson/328645/326715,,,old_algebra,"<p>Page 183 #18</p>
<p>Perimeter</p>",30.0,16.0,53.3,30,3.0,34,1.0,10,1.0,28
77822,1723501.0,PRABK4WQ,1216267.0,PSABCEKM,,12.4: Simplifying Square Roots - On Your Own (8.NS.2),Textbook Curricula,Big Ideas Learning,Grade 7: Red Accelerated (2013),https://app.assistments.org/find/lv/lesson/328610/987236,,,fill_in_ignore_case,"<p>Page 534 #6</p>
<p>&nbsp;</p>
<p>Type your answer in the following format:</p>
<p>sqrt(7) for &radic;7&nbsp;or 12sqrt(7) for 12&radic;7</p>
<p>with no spaces.</p>
<p>&nbsp;</p>",,,,,,,,,,7sqrt(2)
469032,1981523.0,PRABSDVD,1373830.0,PSABSSXH,Practice Problems (Section A),3.1 Section A Practice Problems: Interpret and Represent Data on Scaled Graphs ,Kendall Hunt Illustrative Mathematics,Grade 3,Unit 1 - Introducing Multiplication,https://app.assistments.org/find/lv/lesson/360007/1385428,2.NBT.B.5,Add & Subtract Within 100 Using Place Value Strategies,numeric,"<p>Find the difference.<br /><br /></p>
<p>37 - 9</p>",74.0,53.0,71.6,26,48.0,27,48.0,29,32.0,28
136173,1630348.0,PRABHSMV,1146801.0,PSA9RY4,,Chapter 9 Practice Test ,Textbook Curricula,Glencoe McGraw-Hill,HS: Algebra I (2018),https://app.assistments.org/find/lv/lesson/331409/907860,,,open_response,"<p>Page 643 #7</p>
<p>State the relationships between the two functions.</p>
<p>&nbsp;</p>",,,,,,,,,,
